0,1,2,3
成都-南充,14297.704600000001,4422.8672,route_1
石家庄-沈阳,12430.3246,4363.8094,route_1
石家庄-徐州,4192.8914,12617.5362,route_1
石家庄-成都,12562.884,4235.7102,route_1
天津-郑州,5224.2754,15073.599000000002,route_1
长春-哈尔滨,9146.120200000001,8557.923200000001,route_1
哈尔滨-沈阳,9958.511400000001,10201.036800000002,route_1
南京-武汉,10530.6776,8233.2756,route_1
苏州-长沙,5202.8498,7367.0752,route_1
徐州-青岛,8578.327200000002,987.3206000000001,route_1
徐州-南昌,10901.5678,3826.5928000000004,route_1
徐州-长沙,15595.481600000003,4980.4804,route_1
常州-武汉,9375.3446,4486.028,route_1
安庆-广州,12630.7132,1338.5554000000002,route_1
安庆-西安,7119.794400000001,2283.1738,route_1
蚌埠-合肥,5011.8674,6551.399,route_1
蚌埠-成都,9035.556400000001,1815.7648000000002,route_1
济南-广州,15708.323600000002,8165.9942,route_1
济南-成都,13057.004200000001,6661.0504,route_1
济南-呼和浩特,8332.6306,1310.7236,route_1
杭州-北京,9775.6554,2402.8412000000003,route_1
杭州-济南,12079.642200000002,6451.4018,route_1
杭州-郑州,10770.4186,11192.0144,route_1
杭州-成都,10419.8408,5086.3906,route_1
台州-郑州,7053.3162,3279.7072000000003,route_1
台州-广州,14458.5242,1736.1022,route_1
金华-贵阳,13511.744200000001,615.4958000000001,route_1
福州-厦门,5447.696000000001,10031.5346,route_1
福州-杭州,4536.8844,6796.9614,route_1
泉州-中山,8774.2954,1512.1634,route_1
厦门-广州,17708.1862,7795.4214,route_1
长沙-南京,5969.710000000001,8178.422600000001,route_1
长沙-南宁,14584.348000000002,8416.3444,route_1
武汉-哈尔滨,11074.7816,2508.558,route_1
武汉-福州,12180.4482,6030.104,route_1
武汉-兰州,6901.962,675.1634,route_1
武汉-太原,10086.0776,2727.5582,route_1
郑州-贵阳,13948.1308,996.8582000000001,route_1
郑州-徐州,7249.973800000001,16177.163200000003,route_1
广州-中山,12569.268000000002,20937.9318,route_1
广州-哈尔滨,6526.334000000001,5257.4326,route_1
中山-西安,3324.6432000000004,9579.251400000001,route_1
北京-哈尔滨,5226.385200000001,9402.5518,route_1
北京-广州,5127.902800000001,11533.401600000001,route_1
沈阳-上海,3793.9686,8063.555,route_1
哈尔滨-济南,4847.6508,11581.089600000001,route_1
无锡-上海,8115.8716,3555.3528,route_1
苏州-上海,16668.561,7418.3878,route_1
徐州-上海,19727.8402,3335.1006000000007,route_1
合肥-重庆,8066.391200000001,3689.9452000000006,route_1
济南-贵阳,8608.075400000002,1143.8244000000002,route_1
金华-无锡,7528.7952000000005,1461.7086000000002,route_1
福州-长沙,6260.419400000001,9562.494200000001,route_1
厦门-福州,10031.5346,5447.696000000001,route_1
厦门-西安,4133.2784,7437.780400000001,route_1
泉州-深圳,11645.8596,1488.0950000000003,route_1
长沙-上海,13173.897400000002,6337.191200000001,route_1
武汉-上海,23067.733200000002,9847.2832,route_1
广州-合肥,4050.2688,20932.7526,route_1
广州-重庆,6559.3598,14085.6686,route_1
