收寄城市,寄达城市,委办_40t,委办_20t,委办_12t,自办_40t,自办_20t,自办_12t,邮路总条数,邮路总长度,城市间距离,车辆成本,大小边标记
石家庄,呼和浩特,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1190.0,595.0,12854.975,大
石家庄,包头,,,,,,,,,,,
石家庄,沈阳,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1974.0,987.0,20021.295,大
石家庄,大连,,,,,,,,,,,
石家庄,锦州,,,,,,,,,,,
石家庄,长春,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2556.0,1278.0,27060.372,
石家庄,哈尔滨,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3076.0,1538.0,23894.368,大
石家庄,上海,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2274.0,1137.0,22080.54,大
石家庄,南京,2.0,1.0,0.0,1.0,0.0,1.0,5.0,4500.0,900.0,51751.8,大
石家庄,常州,,,,,,,,,,,
石家庄,无锡,,,,,,,,,,,
石家庄,苏州,,,,,,,,,,,
石家庄,徐州,,,,,,,,,,,
石家庄,连云港,,,,,,,,,,,
石家庄,淮安,,,,,,,,,,,
石家庄,盐城,,,,,,,,,,,
石家庄,扬州,,,,,,,,,,,
石家庄,南通,,,,,,,,,,,
石家庄,杭州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1182.0,1182.0,11463.035999999998,小
石家庄,湖州,,,,,,,,,,,
石家庄,嘉兴,,,,,,,,,,,
石家庄,宁波,,,,,,,,,,,
石家庄,台州,,,,,,,,,,,
石家庄,金华,,,,,,,,,,,
石家庄,义乌,,,,,,,,,,,
石家庄,温州,,,,,,,,,,,
石家庄,合肥,0.0,0.0,0.0,1.0,0.0,0.0,1.0,873.0,873.0,8466.354,小
石家庄,蚌埠,0.0,0.0,0.0,0.0,0.0,1.0,1.0,766.0,766.0,5406.428,小
石家庄,芜湖,,,,,,,,,,,
石家庄,安庆,,,,,,,,,,,
石家庄,福州,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3366.0,1683.0,32643.468,大
石家庄,厦门,,,,,,,,,,,
石家庄,泉州,,,,,,,,,,,
石家庄,南昌,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2454.0,1227.0,23798.891999999996,大
石家庄,鹰潭,,,,,,,,,,,
石家庄,赣州,,,,,,,,,,,
石家庄,济南,0.0,1.0,0.0,4.0,0.0,0.0,5.0,1645.0,329.0,14037.443,大
石家庄,潍坊,,,,,,,,,,,
石家庄,烟台,,,,,,,,,,,
石家庄,青岛,,,,,,,,,,,
石家庄,济宁,,,,,,,,,,,
石家庄,临沂,,,,,,,,,,,
石家庄,郑州,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1660.0,415.0,16098.679999999997,小
石家庄,漯河,,,,,,,,,,,
石家庄,信阳,,,,,,,,,,,
石家庄,洛阳,,,,,,,,,,,
石家庄,武汉,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2691.0,897.0,23729.237999999998,小
石家庄,荆州,,,,,,,,,,,
石家庄,襄阳,,,,,,,,,,,
石家庄,长沙,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3687.0,1229.0,34477.137,大
石家庄,常德,,,,,,,,,,,
石家庄,衡阳,,,,,,,,,,,
石家庄,广州,1.0,0.0,0.0,1.0,2.0,0.0,4.0,7436.0,1859.0,73952.879,大
石家庄,汕头,,,,,,,,,,,
石家庄,深圳,,,,,,,,,,,
石家庄,东莞,,,,,,,,,,,
石家庄,湛江,,,,,,,,,,,
石家庄,中山,,,,,,,,,,,
石家庄,南宁,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4146.0,2073.0,38049.915,大
石家庄,柳州,,,,,,,,,,,
石家庄,海口,,,,,,,,,,,
石家庄,重庆,0.0,2.0,0.0,1.0,0.0,0.0,3.0,4449.0,1483.0,48941.96599999999,大
石家庄,成都,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4722.0,1574.0,50268.838,大
石家庄,南充,,,,,,,,,,,
石家庄,内江,,,,,,,,,,,
石家庄,贵阳,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3618.0,1809.0,38303.766,
石家庄,昆明,,,,,,,,,,,
石家庄,大理州,,,,,,,,,,,
石家庄,拉萨,,,,,,,,,,,
石家庄,西安,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2403.0,801.0,25642.413,大
石家庄,宝鸡,,,,,,,,,,,
石家庄,兰州,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2520.0,1260.0,36658.44,
石家庄,西宁,,,,,,,,,,,
石家庄,银川,,,,,,,,,,,
石家庄,乌鲁木齐,,,,,,,,,,,
石家庄,阿克苏,,,,,,,,,,,
石家庄,喀什,,,,,,,,,,,
唐山,北京,0.0,0.0,0.0,0.0,1.0,0.0,1.0,166.0,166.0,1054.764,大
唐山,天津,0.0,0.0,0.0,2.0,0.0,0.0,2.0,264.0,132.0,2186.9759999999997,小
唐山,石家庄,0.0,0.0,0.0,1.0,0.0,0.0,1.0,445.0,445.0,4315.61,小
唐山,唐山,,,,,,,,,,,
唐山,廊坊,0.0,0.0,0.0,0.0,0.0,1.0,1.0,171.0,171.0,965.1239999999999,小
唐山,保定,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,297.0,1676.268,大
唐山,太原,,,,,,,,,,,
唐山,侯马,,,,,,,,,,,
唐山,呼和浩特,,,,,,,,,,,
唐山,包头,,,,,,,,,,,
唐山,沈阳,,,,,,,,,,,
唐山,大连,,,,,,,,,,,
唐山,锦州,,,,,,,,,,,
唐山,长春,,,,,,,,,,,
唐山,哈尔滨,,,,,,,,,,,
唐山,上海,,,,,,,,,,,
唐山,南京,,,,,,,,,,,
唐山,常州,,,,,,,,,,,
唐山,无锡,,,,,,,,,,,
唐山,苏州,,,,,,,,,,,
唐山,徐州,,,,,,,,,,,
唐山,连云港,,,,,,,,,,,
唐山,淮安,,,,,,,,,,,
唐山,盐城,,,,,,,,,,,
唐山,扬州,,,,,,,,,,,
唐山,南通,,,,,,,,,,,
唐山,杭州,,,,,,,,,,,
唐山,湖州,,,,,,,,,,,
唐山,嘉兴,,,,,,,,,,,
唐山,宁波,,,,,,,,,,,
唐山,台州,,,,,,,,,,,
唐山,金华,,,,,,,,,,,
唐山,义乌,,,,,,,,,,,
唐山,温州,,,,,,,,,,,
唐山,合肥,,,,,,,,,,,
唐山,蚌埠,,,,,,,,,,,
唐山,芜湖,,,,,,,,,,,
唐山,安庆,,,,,,,,,,,
唐山,福州,,,,,,,,,,,
唐山,厦门,,,,,,,,,,,
唐山,泉州,,,,,,,,,,,
唐山,南昌,,,,,,,,,,,
唐山,鹰潭,,,,,,,,,,,
唐山,赣州,,,,,,,,,,,
唐山,济南,,,,,,,,,,,
唐山,潍坊,,,,,,,,,,,
唐山,烟台,,,,,,,,,,,
唐山,青岛,,,,,,,,,,,
唐山,济宁,,,,,,,,,,,
唐山,临沂,,,,,,,,,,,
唐山,郑州,,,,,,,,,,,
唐山,漯河,,,,,,,,,,,
唐山,信阳,,,,,,,,,,,
唐山,洛阳,,,,,,,,,,,
唐山,武汉,,,,,,,,,,,
唐山,荆州,,,,,,,,,,,
唐山,襄阳,,,,,,,,,,,
唐山,长沙,,,,,,,,,,,
唐山,常德,,,,,,,,,,,
唐山,衡阳,,,,,,,,,,,
唐山,广州,,,,,,,,,,,
唐山,汕头,,,,,,,,,,,
唐山,深圳,,,,,,,,,,,
唐山,东莞,,,,,,,,,,,
唐山,湛江,,,,,,,,,,,
唐山,中山,,,,,,,,,,,
唐山,南宁,,,,,,,,,,,
唐山,柳州,,,,,,,,,,,
唐山,海口,,,,,,,,,,,
唐山,重庆,,,,,,,,,,,
唐山,成都,,,,,,,,,,,
唐山,南充,,,,,,,,,,,
唐山,内江,,,,,,,,,,,
唐山,贵阳,,,,,,,,,,,
唐山,昆明,,,,,,,,,,,
唐山,大理州,,,,,,,,,,,
唐山,拉萨,,,,,,,,,,,
唐山,西安,,,,,,,,,,,
唐山,宝鸡,,,,,,,,,,,
唐山,兰州,,,,,,,,,,,
唐山,西宁,,,,,,,,,,,
唐山,银川,,,,,,,,,,,
唐山,乌鲁木齐,,,,,,,,,,,
