0,1,2,3
扬州-内江,160.58460000000002,59.27340000000001,
扬州-大理州,501.68680000000006,90.39020000000001,
常州-宝鸡,611.6158,438.33260000000007,
常州-西宁,386.1002,62.10220000000001,
合肥-大连,2886.9676,174.86,
合肥-连云港,1308.0956,1303.69,
合肥-淮安,865.4194,1336.1208000000001,
合肥-潍坊,3194.387,829.4334,
合肥-湖州,1347.4360000000001,2269.8404,
合肥-温州,3769.3598,3723.9824000000003,
合肥-海口,2337.0598,169.2024,
安庆-临沂,1358.6198000000002,315.7744,
安庆-荆州,529.8434000000001,222.6868,
蚌埠-无锡,1981.5508000000002,1419.2766000000001,
蚌埠-嘉兴,1519.2044,1016.1416000000002,
蚌埠-重庆,4654.8436,1839.4464000000003,
蚌埠-洛阳,2616.0598,1643.6716000000001,
蚌埠-湖州,839.8288,1739.5334000000003,
芜湖-南京,1866.7526000000003,3042.683,
芜湖-徐州,1387.1706,3714.0284,
芜湖-泉州,1094.1580000000001,1180.7302000000002,
芜湖-长沙,3660.7448000000004,2341.5968000000003,
芜湖-深圳,2555.4030000000002,502.54460000000006,
芜湖-保定,879.8262000000001,495.635,
芜湖-银川,1398.7486,64.7996,
芜湖-无锡,826.3418,1163.0384000000001,
济南-太原,8444.7934,3250.2292,route_1
济南-大连,3544.3698000000004,521.4884000000001,
济南-长春,8199.476200000001,3197.077,route_1
济南-苏州,5682.0302,6019.259800000001,
济南-蚌埠,3120.8382,9449.0248,
济南-杭州,6451.4018,12079.642200000002,route_1
济南-金华,2495.0784000000003,26226.1536,
济南-南昌,5398.756,9535.334200000001,route_1
济南-重庆,6584.0926,6385.3354,route_1
济南-南通,1922.9344,6791.175200000001,
潍坊-深圳,962.1242000000001,468.8618,
潍坊-保定,527.6716000000001,1236.9814000000001,
潍坊-长沙,1241.3870000000002,2578.9532000000004,
潍坊-洛阳,555.6968,1501.9688,
潍坊-中山,716.4128000000001,673.9808,
潍坊-乌鲁木齐,730.8196,124.3358,
潍坊-临沂,646.2184,541.4214000000001,
潍坊-泉州,417.61120000000005,1434.928,
青岛-杭州,1642.0254,5274.5886,
青岛-贵阳,1255.2682000000002,562.0114,
青岛-锦州,657.1394000000001,293.66960000000006,
青岛-金华,671.4148,11939.380200000001,
济宁-合肥,1137.7726,2706.5814,
济宁-温州,666.2828,1219.8152,
济宁-南昌,1343.618,1843.728,
济宁-衡阳,657.7964,694.8336,
济宁-东莞,1047.2510000000002,874.895,
济宁-兰州,1818.1994000000002,112.88920000000002,
临沂-长春,1325.4626000000003,799.2364,
临沂-徐州,761.148,3960.3968000000004,
临沂-福州,975.6112,950.0206000000001,
临沂-泉州,459.5176,1420.6526000000001,
临沂-贵阳,1604.3312,220.12080000000003,
临沂-兰州,1136.1958000000002,124.20440000000002,
济宁-大连,683.1242,115.5866,
济宁-锦州,654.8362,73.41740000000001,
济宁-临沂,793.316,482.148,
济宁-泉州,547.736,1406.5086000000001,
临沂-保定,566.8806,1157.9064,
临沂-安庆,315.7744,1358.6198000000002,
临沂-常德,329.9184,118.54680000000002,
济宁-银川,519.4480000000001,45.129400000000004,
杭州-包头,838.3214,56.44460000000001,
杭州-深圳,6613.4142,2642.0594,route_1
湖州-保定,1043.7726,264.5932,
湖州-潍坊,816.4794,217.29200000000003,
湖州-嘉兴,914.5676000000001,892.3314,
湖州-鹰潭,524.6494,107.1002,
湖州-泉州,1411.3232,838.8396,
湖州-衡阳,1139.1634,449.1222,
湖州-东莞,1888.4086000000002,424.7836,
嘉兴-盐城,712.9964,624.7086,
嘉兴-赣州,617.6056000000001,494.7772,
宁波-无锡,2352.3244000000004,2295.617,
宁波-东莞,4020.5354,1583.8106000000002,
宁波-西宁,453.3344,67.7598,
金华-包头,1670.12,28.1566,
金华-廊坊,2675.4026000000003,340.97080000000005,
金华-淮安,2185.5566000000003,735.6888,
金华-扬州,3309.3860000000004,992.3212000000001,
金华-济宁,5123.2492,629.3770000000001,
金华-深圳,12804.536800000002,1125.8078,route_1
金华-东莞,10703.45,1119.5552,route_1
温州-无锡,1914.1925999999999,1690.053,
温州-唐山,1008.8378,149.4008,
温州-保定,1264.8132,774.5036,
温州-淮安,559.1206,924.5614,
南昌-保定,2032.7320000000002,1631.0424,
南昌-深圳,8641.7508,2094.3854,route_1
南昌-盐城,1548.2808,1125.2128,
南昌-安庆,1861.3578000000002,4557.3504,
南昌-义乌,1114.0910000000001,20362.076200000003,
鹰潭-重庆,761.0166,827.7872000000001,
鹰潭-长沙,1040.0166000000002,2051.4130000000005,
鹰潭-衡阳,349.3258000000001,463.13480000000004,
鹰潭-苏州,490.2402,571.7498,
鹰潭-湛江,259.1984,228.73860000000002,
福州-常州,1666.959,6133.525000000001,
福州-金华,1776.6252000000002,14123.4914,
福州-海口,2121.6074000000003,228.47580000000002,
福州-台州,1472.5602,5766.661,
福州-乌鲁木齐,1730.3752000000002,293.9324,
福州-鹰潭,704.9662,757.925,
福州-襄阳,969.5594000000001,1067.184,
厦门-石家庄,3067.6092000000003,3724.6246,
厦门-长春,2163.8386,612.7984,
厦门-重庆,3076.6212000000005,3229.3764,
泉州-海口,5096.5852,118.4154,
泉州-大连,1039.553,186.0438,
泉州-淮安,465.96360000000004,386.1002,
泉州-济宁,1406.5086000000001,547.736,
泉州-湖州,838.8396,1411.3232,
厦门-湛江,2248.5712000000003,917.6518000000001,
厦门-海口,2282.7796000000003,152.2296,
重庆-烟台,1452.295,708.8462000000001,
重庆-扬州,921.1376000000001,1474.732,
重庆-赣州,1486.372,1608.6674,
重庆-荆州,692.2676,749.7014,
长沙-南通,2474.5504,5943.8492,
长沙-湖州,1565.5164,3381.1100000000006,
长沙-赣州,3787.183,2199.4924000000005,
长沙-西宁,818.2496000000001,220.25220000000002,
常德-包头,186.17520000000002,14.0126,
常德-南昌,810.0260000000001,1898.0008000000003,
常德-东莞,818.5124000000001,897.394,
常德-南宁,900.4162000000001,1472.885,
常德-兰州,316.03720000000004,90.39020000000001,
衡阳-青岛,1533.4104000000002,479.4506,
衡阳-天津,2214.2314,816.3406000000001,
衡阳-徐州,1146.7846000000002,4648.915800000001,
衡阳-合肥,1810.3700000000001,3535.4892,
衡阳-南昌,2864.0670000000005,2969.5284,
衡阳-台州,756.9358000000001,2140.4346,
荆州-泉州,380.44259999999997,536.6836000000001,
荆州-郑州,831.211,1549.5948,
荆州-东莞,913.1148000000001,368.47040000000004,
荆州-嘉兴,281.8288,294.65880000000004,
襄阳-南昌,1436.9684,1703.4706,
襄阳-福州,1067.184,969.5594000000001,
襄阳-泉州,513.7904000000001,1234.2146,
襄阳-湛江,324.5236,313.33979999999997,
襄阳-柳州,567.2748,96.04780000000001,
郑州-廊坊,2853.4782,1476.5095999999999,
郑州-盐城,2557.1112,2571.2006,
郑州-宝鸡,1597.6844,1094.4828000000002,
洛阳-无锡,1333.4234000000001,1157.5122000000001,
洛阳-济宁,1175.2734,716.9384,
洛阳-泉州,1457.8906,1819.1192,
洛阳-昆明,1714.3296,479.8448000000001,
洛阳-包头,512.7392,19.6702,
洛阳-鹰潭,591.9456,343.6682,
洛阳-淮安,400.3756,329.65560000000005,
洛阳-湖州,631.6802,1102.6518,
漯河-唐山,1030.6724,253.67220000000003,
漯河-济宁,1211.4528000000003,914.5602000000001,
漯河-杭州,2852.3576000000003,4014.838,
漯河-宁波,1691.6918,3312.0834000000004,
漯河-温州,1397.7594,2141.0916,
信阳-太原,1997.1402000000003,867.5218000000001,
信阳-长春,1991.4826000000003,666.02,
信阳-苏州,1486.7042000000001,2112.6648,
信阳-济南,3314.6420000000003,4563.7964,
信阳-天津,2361.5298000000003,2268.3728,
信阳-贵阳,2168.7772000000004,429.1892,
信阳-保定,854.7612,2357.5878000000002,
信阳-常州,727.7280000000001,3633.0518,
信阳-无锡,705.229,1261.6522000000002,
信阳-金华,789.6988,8955.7698,
信阳-温州,809.6318,2267.9934000000003,
信阳-深圳,1864.9750000000001,1072.4548,
信阳-中山,1286.1222000000002,1170.2728,
洛阳-义乌,467.74120000000005,9986.705,
信阳-锦州,623.1938,104.53420000000001,
汕头-南京,580.2362,2997.1594,
汕头-无锡,335.0504,1058.8984,
汕头-苏州,721.0192000000001,2087.2056000000002,
汕头-烟台,343.5368,454.51700000000005,
汕头-临沂,456.0318,640.0352,
汕头-衡阳,991.6642,2106.6056,
汕头-东莞,2409.1632000000004,3254.3942000000006,
汕头-大理州,383.0086,240.18520000000004,
湛江-呼和浩特,463.13480000000004,132.6908,
湛江-南昌,1378.2206,2582.6398,
湛江-柳州,714.3724,409.65040000000005,
湛江-大连,316.16859999999997,42.3006,
湛江-无锡,437.67560000000003,585.7624000000001,
湛江-芜湖,299.1958000000001,902.3252,
湛江-安庆,318.99739999999997,2018.0624000000003,
湛江-济宁,259.72400000000005,494.12020000000007,
湛江-临沂,316.3,439.8474,
湛江-台州,389.7174,2075.7664,
中山-昆明,2352.255,1611.9598,
中山-保定,806.4088,1064.556,
中山-烟台,572.4068,559.0512,
中山-金华,941.9284,9820.532200000001,
中山-衡阳,1229.809,2686.1154,
中山-南充,1031.7930000000001,510.5674,
中山-银川,687.9934,132.5594,
贵阳-杭州,1248.0958,7459.039400000001,
贵阳-宁波,810.2888,5971.958600000001,
贵阳-南昌,852.7208,7565.0986,
贵阳-郑州,996.8582000000001,13948.1308,
海口-南京,183.34640000000002,4004.9386000000004,
海口-东莞,217.16060000000002,1775.1178,
昆明-厦门,1061.395,2228.9010000000003,
昆明-郑州,1510.123,7138.004400000001,
昆明-临沂,344.3252,383.5342,
昆明-温州,1019.2258000000002,3520.9658,
昆明-常德,457.34580000000005,674.6378,
合肥-阿克苏,521.3570000000001,67.7598,
信阳-湛江,600.8262,711.4122,
呼和浩特-济南,1310.7236,8332.6306,
锦州-济南,440.6358,3168.7964,
太原-郑州,2164.8898,14460.012200000001,
天津-淮安,353.0744,769.503,
天津-盐城,762.8562000000001,1237.7078000000001,
天津-安庆,692.1362,4518.5356,
天津-台州,655.3618,4084.2986,
天津-常德,531.1574,451.4254,
天津-大理州,460.4374,802.3280000000001,
天津-阿克苏,457.74000000000007,96.04780000000001,
哈尔滨-湖州,465.96360000000004,2988.1002,
哈尔滨-南充,539.381,742.3976,
合肥-内江,685.0332000000001,262.8156,
芜湖-荆州,341.2336,228.21300000000002,
芜湖-大理州,357.9436,93.21900000000001,
济南-连云港,1192.7718,3082.6878000000006,
济南-西宁,843.3146,234.52760000000004,
青岛-芜湖,403.3358,2154.7646000000004,
青岛-南宁,451.29400000000004,2205.1500000000005,
厦门-连云港,697.6624,929.0364,
厦门-烟台,782.5264000000001,440.50440000000003,
厦门-济宁,805.0254000000001,824.1700000000001,
厦门-银川,1019.7514,112.7578,
常德-厦门,403.46720000000005,991.5948000000001,
洛阳-西宁,168.9396,81.9038,
漯河-廊坊,686.2158000000001,616.7478000000001,
漯河-安庆,725.6876,2417.781,
漯河-襄阳,745.3578,728.2536,
信阳-廊坊,442.80760000000004,656.351,
信阳-临沂,679.9012,944.363,
信阳-湖州,315.90580000000006,2182.6732,
信阳-荆州,203.0166,411.2966,
漯河-淮安,335.9702,408.5992,
信阳-拉萨,104.2714,36.643,
郑州-喀什,253.93500000000003,53.61580000000001,
中山-西宁,315.7744,64.93100000000001,
中山-阿克苏,420.1772,42.3006,
