收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
南京,哈尔滨,0,南京-哈尔滨,2139.0,152,1812,1964,0.8787931591713272,0.0
南京,锦州,1,南京-上海-锦州,1825.0,38,422,460,0.17561236838224295,9.622595527794135e-05
南京,洛阳,1,南京-上海-洛阳,1329.0,63,692,755,0.20989704868719558,0.00015793607877140375
南京,汕头,1,南京-上海-汕头,1571.0,75,838,913,0.30004152359157105,0.0001909876025407836
扬州,郑州,1,扬州-上海-郑州,1254.0,80,858,938,0.24605646162519362,0.0001962172740232804
扬州,漯河,1,扬州-上海-漯河,1095.0,34,342,376,0.08612641371094351,7.865425909675207e-05
常州,厦门,0,常州-厦门,1106.0,112,1112,1224,0.2831854556560466,0.0
无锡,福州,1,无锡-上海-福州,919.0,75,551,626,0.12034394503406085,0.0001309509739217202
无锡,银川,1,无锡-上海-银川,2103.0,34,245,279,0.1227376702650293,5.836313374466443e-05
无锡,石家庄,1,无锡-上海-石家庄,1279.0,87,671,758,0.202802894727759,0.00015856363934930336
无锡,金华,0,无锡-金华,377.0,49,372,421,0.033201510747497866,0.0
无锡,长沙,1,无锡-上海-长沙,1239.0,91,685,776,0.20112563448989262,0.00016232900281670107
无锡,汕头,1,无锡-上海-汕头,1414.0,36,268,304,0.08992022659120599,6.359280522716125e-05
无锡,南宁,1,无锡-上海-南宁,2043.0,53,408,461,0.19701699538638381,9.643514213724122e-05
无锡,海口,1,无锡-上海-海口,2184.0,35,265,300,0.13705923021327646,6.275605778996175e-05
无锡,成都,0,无锡-成都,1838.0,140,1052,1192,0.45830665329265347,0.0
苏州,广州,0,苏州-广州,1400.0,292,2333,2625,0.7687617079270315,0.0
苏州,济南,0,苏州-济南,832.0,197,1546,1743,0.3033577628720519,0.0
苏州,青岛,1,苏州-上海-青岛,899.0,100,814,914,0.17188591367067504,0.00019119678940008347
徐州,北京,0,徐州-北京,697.0,244,4978,5222,0.7613845241469621,0.0
徐州,湛江,0,徐州-湛江,1943.0,68,1134,1202,0.488552981278822,0.0
徐州,贵阳,0,徐州-贵阳,1675.0,215,3675,3890,1.3630092784831442,0.0
徐州,海口,0,徐州-海口,2130.0,112,2105,2217,0.9878242788544509,0.0
连云港,南昌,1,连云港-上海-南昌,1210.0,51,335,386,0.09770281450459845,8.074612768975078e-05
连云港,银川,1,连云港-上海-银川,2442.0,23,154,177,0.0904176729426211,3.702607409607743e-05
连云港,昆明,1,连云港-上海-昆明,2803.0,35,243,278,0.16300551311967684,5.8153946885364554e-05
淮安,石家庄,1,淮安-上海-石家庄,1558.0,22,185,207,0.06746401724536467,4.330167987507361e-05
淮安,漯河,1,淮安-上海-漯河,1232.0,12,109,121,0.031183903489550593,2.5311609975284572e-05
淮安,金华,1,淮安-上海-金华,752.0,20,201,221,0.03476518252076441,4.6230295905271826e-05
徐州,侯马,0,徐州-侯马,669.0,80,1388,1468,0.20544074102353038,0.0
徐州,芜湖,0,徐州-芜湖,427.0,66,1118,1184,0.10575818208251794,0.0
盐城,合肥,1,盐城-上海-合肥,782.0,55,311,366,0.05987178937393511,7.656239050375333e-05
盐城,厦门,1,盐城-上海-厦门,1338.0,36,184,220,0.06157624390351047,4.602110904597195e-05
盐城,郑州,1,盐城-上海-郑州,1289.0,109,587,696,0.1876707356997248,0.00014559405407271126
扬州,北京,0,扬州-北京,1010.0,50,542,592,0.12507700691257975,0.0
扬州,洛阳,1,扬州-上海-洛阳,1314.0,25,259,284,0.07806351540608922,5.940906804116379e-05
扬州,汕头,1,扬州-上海-汕头,1556.0,26,258,284,0.09244050987205085,5.940906804116379e-05
扬州,南充,1,扬州-上海-南充,2043.0,24,228,252,0.10769692589450916,5.271508854356787e-05
常州,哈尔滨,0,常州-哈尔滨,2190.0,200,2018,2218,1.0161084341003868,0.0
常州,芜湖,1,常州-上海-芜湖,540.0,55,516,571,0.06450067619652268,0.00011944569666022719
常州,襄阳,1,常州-上海-襄阳,1261.0,44,406,450,0.11870308330971265,9.413408668494262e-05
常州,南充,1,常州-上海-南充,1943.0,69,637,706,0.2869537477394745,0.00014768592266571
常州,兰州,1,常州-上海-兰州,2189.0,91,888,979,0.44829392427226505,0.0002047939352545752
南通,太原,1,南通-上海-太原,1489.0,36,781,817,0.2544785337674658,0.00017090566404799582
南通,青岛,1,南通-上海-青岛,942.0,50,1085,1135,0.2236563143576447,0.0002374270853053553
南通,宁波,0,南通-宁波,330.0,56,1292,1348,0.09305468249095529,0.0
南通,武汉,0,南通-武汉,796.0,92,2065,2157,0.3591679801858207,0.0
南通,南宁,0,南通-南宁,1975.0,52,1172,1224,0.5056883136715118,0.0
南通,西安,0,南通-西安,1300.0,80,1777,1857,0.5049979970358222,0.0
合肥,北京,0,合肥-北京,1014.0,261,2750,3011,0.6386796962188429,0.0
合肥,芜湖,0,合肥-芜湖,151.0,120,1205,1325,0.04185306087442199,0.0
合肥,福州,0,合肥-福州,873.0,226,2412,2638,0.48175189810926455,0.0
安庆,侯马,1,安庆-武汉-侯马,1117.0,63,565,628,0.14673956131423735,0.00013136934764031993
安庆,宁波,1,安庆-武汉-宁波,1255.0,78,808,886,0.23260114446130722,0.00018533955733968704
安庆,南昌,0,安庆-南昌,317.0,128,1233,1361,0.0902509510157591,0.0
安庆,汕头,1,安庆-武汉-汕头,1457.0,87,861,948,0.28893642079191867,0.00019830914261627914
安庆,南宁,0,安庆-南宁,1494.0,138,1378,1516,0.4737881543757184,0.0
安庆,兰州,1,安庆-武汉-兰州,1706.0,72,686,758,0.2705095687299115,0.00015856363934930336
蚌埠,沈阳,0,蚌埠-沈阳,1465.0,219,2340,2559,0.7842279383693675,0.0
蚌埠,漯河,1,蚌埠-武汉-漯河,853.0,96,979,1075,0.19181912030650058,0.00022487587374736293
蚌埠,西安,0,蚌埠-西安,917.0,245,2553,2798,0.5367245312383967,0.0
济南,郑州,0,济南-郑州,447.0,298,3472,3770,0.35251960342355215,0.0
济南,乌鲁木齐,0,济南-乌鲁木齐,3220.0,91,1071,1162,0.7827019202307749,0.0
潍坊,郑州,0,潍坊-郑州,655.0,35,511,546,0.0748114964914134,0.0
临沂,信阳,1,临沂-上海-信阳,1382.0,25,260,285,0.08239242827244078,5.961825490046366e-05
杭州,天津,0,杭州-天津,1187.0,434,1029,1463,0.3632699253098319,0.0
杭州,衡阳,1,杭州-上海-衡阳,1380.0,176,404,580,0.16743316218361795,0.00012132837839392606
杭州,广州,0,杭州-广州,1248.0,1133,2680,3813,0.9954416091489965,0.0
杭州,南宁,0,杭州-南宁,1712.0,429,1023,1452,0.5200017153322463,0.0
杭州,柳州,1,杭州-上海-柳州,1859.0,165,374,539,0.20960544220533153,0.00011275171716263127
杭州,银川,1,杭州-上海-银川,2139.0,163,382,545,0.24386062716312287,0.00011400683831843051
湖州,石家庄,1,湖州-上海-石家庄,1292.0,182,489,671,0.18135078230655707,0.00014036438259021445
湖州,常州,1,湖州-上海-常州,331.0,64,172,236,0.01634084070106884,4.936809879476991e-05
湖州,济南,0,湖州-济南,832.0,275,731,1006,0.17508772773911888,0.0
湖州,青岛,1,湖州-上海-青岛,954.0,94,250,344,0.06865010673759496,7.196027959915615e-05
嘉兴,石家庄,1,嘉兴-上海-石家庄,1246.0,109,330,439,0.11442395691587445,9.183303123264403e-05
嘉兴,沈阳,0,嘉兴-沈阳,1789.0,147,441,588,0.22005035127703348,0.0
