start_trans_hub,end_trans_hub,zb_num,big_num
沈阳,安庆,16,111
合肥,阿克苏,15,140
信阳,湛江,13,174
呼和浩特,济南,14,422
呼和浩特,武汉,9,249
锦州,上海,4,87
锦州,济南,5,141
锦州,广州,5,123
太原,郑州,15,721
天津,淮安,4,113
天津,盐城,7,249
天津,安庆,7,224
天津,台州,7,211
天津,常德,5,173
天津,大理州,5,148
天津,阿克苏,4,150
沈阳,赣州,12,87
哈尔滨,湖州,6,147
哈尔滨,南充,7,170
合肥,内江,18,189
芜湖,荆州,8,97
芜湖,大理州,10,97
济南,连云港,29,336
济南,西宁,19,242
青岛,芜湖,9,116
青岛,南宁,10,130
厦门,连云港,8,223
厦门,烟台,8,253
厦门,济宁,9,258
厦门,银川,11,328
常德,厦门,8,119
洛阳,西宁,6,42
漯河,廊坊,9,216
漯河,安庆,10,227
漯河,襄阳,11,231
信阳,廊坊,10,127
信阳,临沂,14,199
信阳,湖州,7,91
信阳,荆州,5,57
漯河,淮安,5,104
信阳,拉萨,3,28
郑州,喀什,5,75
中山,西宁,8,88
中山,阿克苏,10,119
南宁,呼和浩特,5,465
南宁,苏州,13,1008
南宁,宁波,10,780
南宁,金华,9,597
南宁,福州,20,1570
南宁,厦门,13,972
南宁,重庆,24,1915
柳州,南昌,4,158
柳州,成都,7,335
柳州,西安,4,160
南充,上海,16,265
南充,西安,20,467
南充,青岛,8,103
大理州,大连,4,96
大理州,南京,3,115
大理州,西安,5,199
西安,扬州,13,560
西安,蚌埠,20,755
西安,嘉兴,23,946
西安,常德,16,676
西安,宝鸡,30,820
西安,乌鲁木齐,100,2593
烟台,济南,36,848
义乌,温州,391,3183
西宁,西宁,50,1155
乌鲁木齐,乌鲁木齐,44,1825
太原,锦州,4,161
大连,天津,12,128
大连,漯河,4,40
上海,蚌埠,43,642
上海,合肥,93,1432
上海,济南,177,2692
上海,杭州,164,2555
上海,武汉,192,2914
烟台,哈尔滨,21,492
烟台,常州,6,141
烟台,贵阳,10,232
临沂,银川,8,86
义乌,蚌埠,340,2798
赣州,汕头,5,382
赣州,南宁,9,666
常德,漯河,5,69
荆州,洛阳,8,71
深圳,呼和浩特,55,176
深圳,哈尔滨,108,338
深圳,太原,79,250
深圳,南京,110,356
深圳,郑州,138,440
深圳,南充,67,210
东莞,南昌,140,752
东莞,柳州,79,423
东莞,成都,246,1328
东莞,昆明,126,675
南宁,襄阳,5,309
南充,合肥,7,100
银川,哈尔滨,8,92
呼和浩特,徐州,3,87
呼和浩特,潍坊,3,90
呼和浩特,烟台,4,103
呼和浩特,湖州,1,28
呼和浩特,温州,3,80
呼和浩特,衡阳,2,61
呼和浩特,南充,3,99
呼和浩特,兰州,4,132
呼和浩特,拉萨,1,14
包头,石家庄,1,20
包头,沈阳,2,36
包头,南京,1,9
包头,合肥,1,6
包头,济宁,1,3
包头,嘉兴,1,5
包头,汕头,1,5
包头,大理州,1,3
包头,银川,2,33
包头,乌鲁木齐,1,6
太原,南京,5,332
太原,徐州,4,195
太原,福州,6,357
太原,襄阳,3,127
太原,柳州,2,120
侯马,包头,1,47
侯马,廊坊,1,58
侯马,大连,1,81
侯马,青岛,2,196
侯马,杭州,3,227
侯马,厦门,2,117
侯马,泉州,1,100
唐山,淮安,1,13
唐山,嘉兴,3,31
唐山,鹰潭,1,11
唐山,常德,2,19
唐山,内江,1,5
北京,宝鸡,5,121
沈阳,喀什,3,17
大连,廊坊,2,19
大连,无锡,3,28
大连,泉州,5,51
大连,武汉,8,95
大连,中山,4,48
锦州,包头,2,38
锦州,扬州,1,9
锦州,合肥,2,33
锦州,安庆,1,10
锦州,潍坊,1,33
锦州,宁波,1,32
锦州,鹰潭,1,5
锦州,福州,2,32
锦州,重庆,2,35
锦州,荆州,1,5
锦州,南充,1,12
锦州,西宁,1,6
锦州,拉萨,1,4
长春,湖州,3,75
哈尔滨,常德,4,115
哈尔滨,西宁,2,80
哈尔滨,拉萨,1,39
上海,潍坊,44,678
无锡,深圳,76,607
连云港,阿克苏,2,10
潍坊,淮安,3,40
潍坊,荆州,3,39
潍坊,阿克苏,3,39
烟台,无锡,6,137
烟台,芜湖,3,77
烟台,赣州,3,61
烟台,荆州,2,33
烟台,南宁,4,105
烟台,喀什,1,3
青岛,荆州,3,44
济宁,安庆,6,123
济宁,昆明,8,171
临沂,鹰潭,4,46
临沂,大理州,3,27
义乌,连云港,128,1059
义乌,扬州,125,1031
义乌,烟台,200,1651
义乌,西宁,15,124
义乌,乌鲁木齐,54,442
义乌,喀什,3,20
鹰潭,连云港,3,27
鹰潭,淮安,2,17
鹰潭,喀什,1,8
赣州,呼和浩特,5,411
赣州,包头,2,134
赣州,苏州,5,420
赣州,淮安,1,68
赣州,盐城,2,115
赣州,济宁,3,184
赣州,鹰潭,2,124
赣州,东莞,7,586
赣州,内江,1,51
赣州,兰州,4,311
赣州,喀什,1,15
泉州,内江,3,103
常德,太原,6,108
常德,侯马,3,52
常德,安庆,2,39
常德,襄阳,4,61
常德,洛阳,3,50
衡阳,连云港,4,116
衡阳,湖州,5,144
衡阳,阿克苏,3,78
武汉,喀什,7,126
荆州,包头,4,41
荆州,唐山,5,49
荆州,潍坊,6,59
荆州,鹰潭,4,37
襄阳,包头,3,42
襄阳,义乌,3,59
襄阳,鹰潭,3,68
襄阳,荆州,3,45
漯河,喀什,1,22
深圳,连云港,29,94
深圳,泉州,85,275
深圳,衡阳,86,278
深圳,宝鸡,10,32
东莞,苏州,96,521
东莞,台州,40,213
东莞,喀什,6,28
东莞,拉萨,17,88
湛江,盐城,3,72
湛江,荆州,2,47
湛江,乌鲁木齐,3,66
南宁,唐山,4,316
南宁,连云港,3,180
南宁,安庆,4,326
南宁,嘉兴,5,396
南宁,赣州,5,434
南宁,喀什,1,21
柳州,太原,2,79
柳州,济宁,1,25
