收寄城市,寄达城市,运量（重量）
唐山,安庆,0.0
唐山,福州,0.0
唐山,厦门,0.0
唐山,泉州,0.0
唐山,南昌,0.0
唐山,鹰潭,0.0
唐山,赣州,0.0
唐山,济南,0.0
唐山,潍坊,0.0
唐山,烟台,0.0
唐山,青岛,0.0
唐山,济宁,0.0
唐山,临沂,0.0
唐山,郑州,0.0
唐山,漯河,0.0
唐山,信阳,0.0
唐山,洛阳,0.0
唐山,武汉,0.0
唐山,荆州,0.0
唐山,襄阳,0.0
唐山,长沙,0.0
唐山,常德,0.0
唐山,衡阳,0.0
唐山,广州,0.0
唐山,汕头,0.0
唐山,深圳,0.0
唐山,东莞,0.0
唐山,湛江,0.0
唐山,中山,0.0
唐山,南宁,0.0
唐山,柳州,0.0
唐山,海口,0.0
唐山,重庆,0.0
唐山,成都,0.0
唐山,南充,0.0
唐山,内江,0.0
唐山,贵阳,0.0
唐山,昆明,0.0
唐山,大理州,0.0
唐山,拉萨,0.0
唐山,西安,0.0
唐山,宝鸡,0.0
唐山,兰州,0.0
唐山,西宁,0.0
唐山,银川,0.0
唐山,乌鲁木齐,0.0
唐山,阿克苏,0.0
唐山,喀什,0.0
廊坊,北京,56813.38220000001
廊坊,天津,0.0
廊坊,石家庄,0.0
廊坊,唐山,0.0
廊坊,廊坊,0.0
廊坊,保定,0.0
廊坊,太原,0.0
廊坊,侯马,0.0
廊坊,呼和浩特,0.0
廊坊,包头,0.0
廊坊,沈阳,0.0
廊坊,大连,0.0
廊坊,锦州,0.0
廊坊,长春,0.0
廊坊,哈尔滨,0.0
廊坊,上海,1335.9894000000002
廊坊,南京,0.0
廊坊,常州,0.0
廊坊,无锡,0.0
廊坊,苏州,0.0
廊坊,徐州,0.0
廊坊,连云港,0.0
廊坊,淮安,0.0
廊坊,盐城,0.0
廊坊,扬州,0.0
廊坊,南通,0.0
廊坊,杭州,0.0
廊坊,湖州,0.0
廊坊,嘉兴,0.0
廊坊,宁波,0.0
廊坊,台州,0.0
廊坊,金华,0.0
廊坊,义乌,0.0
廊坊,温州,0.0
廊坊,合肥,0.0
廊坊,蚌埠,0.0
廊坊,芜湖,0.0
廊坊,安庆,0.0
廊坊,福州,0.0
廊坊,厦门,0.0
廊坊,泉州,0.0
廊坊,南昌,0.0
廊坊,鹰潭,0.0
廊坊,赣州,0.0
廊坊,济南,0.0
廊坊,潍坊,0.0
廊坊,烟台,0.0
廊坊,青岛,0.0
廊坊,济宁,0.0
廊坊,临沂,0.0
廊坊,郑州,0.0
