收寄城市,寄达城市,经转次数,路线,路线类型,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
杭州,天津,0,杭州-天津,route_1,1187.0,434,1029,1463,0.3632699253098319,0.0
杭州,衡阳,2,杭州-上海-武汉-衡阳,,1516.0,176,404,580,0.1839338216451919,0.00024265675678785211
杭州,广州,1,杭州-上海-广州,,1615.0,1133,2680,3813,1.2881716336343183,0.0007976294945104138
杭州,南宁,0,杭州-南宁,route_1,1712.0,429,1023,1452,0.5200017153322463,0.0
杭州,柳州,2,杭州-上海-广州-柳州,,2115.0,165,374,539,0.23846988179896517,0.00022550343432526255
杭州,银川,2,杭州-上海-西安-银川,,2266.0,163,382,545,0.25833949562956354,0.00022801367663686102
湖州,石家庄,2,湖州-上海-北京-石家庄,,1671.0,182,489,671,0.23454888330824833,0.0002807287651804289
湖州,常州,1,湖州-上海-常州,,331.0,64,172,236,0.01634084070106884,4.936809879476991e-05
湖州,济南,2,湖州-上海-北京-济南,,1765.0,275,731,1006,0.3714300955042606,0.0004208839609113435
湖州,青岛,2,湖州-上海-北京-青岛,,2026.0,94,250,344,0.14579152646789034,0.0001439205591983123
嘉兴,石家庄,2,嘉兴-上海-北京-石家庄,,1625.0,109,330,439,0.14922867575304655,0.00018366606246528807
嘉兴,沈阳,1,嘉兴-上海-沈阳,,1855.0,147,441,588,0.22816847491274292,0.00012300187326832503
嘉兴,汕头,2,嘉兴-上海-广州-汕头,,1970.0,74,217,291,0.11992055083083791,0.00012174675211252579
嘉兴,成都,1,嘉兴-上海-成都,,2080.0,194,571,765,0.3328581305179571,0.00016002794736440245
嘉兴,海口,2,嘉兴-上海-广州-海口,,2135.0,47,145,192,0.08574987736420374,8.032775397115103e-05
嘉兴,兰州,2,嘉兴-上海-西安-兰州,,2119.0,79,236,315,0.1396290907797754,0.00013178772135891966
嘉兴,大理州,2,嘉兴-上海-成都-大理州,,3089.0,26,77,103,0.06655635546286254,4.3092493015773734e-05
宁波,石家庄,2,宁波-上海-北京-石家庄,,1743.0,175,1419,1594,0.5811926370409264,0.0006668877074479935
宁波,南昌,2,宁波-上海-武汉-南昌,,1407.0,185,1441,1626,0.4785739313427809,0.0006802756664431854
宁波,福州,1,宁波-上海-福州,,1004.0,190,1510,1700,0.3570401314530224,0.00035561766080978327
宁波,襄阳,2,宁波-上海-武汉-襄阳,,1360.0,46,353,399,0.11351315733048281,0.00016693111372129827
宁波,昆明,2,宁波-上海-成都-昆明,,3045.0,146,1169,1315,0.837620792337067,0.0005501614399586646
宁波,大理州,2,宁波-上海-成都-大理州,,3207.0,34,263,297,0.19924609055908327,0.00012425699442412426
台州,锦州,2,台州-上海-沈阳-锦州,,2356.0,52,179,231,0.11384701955792541,9.66443289965411e-05
台州,徐州,1,台州-上海-徐州,,972.0,198,717,915,0.18604660892412062,0.00019140597625938333
台州,合肥,2,台州-上海-武汉-合肥,,1580.0,274,1006,1280,0.42305950424806216,0.0005355183598076736
台州,信阳,2,台州-上海-武汉-信阳,,1415.0,180,647,827,0.2447915086870073,0.0003459950652819891
台州,汕头,2,台州-上海-广州-汕头,,2237.0,185,666,851,0.39822630461999636,0.000356036034528383
台州,成都,1,台州-上海-成都,,2347.0,417,1478,1895,0.9303721538820374,0.0003964090983732584
台州,银川,2,台州-上海-西安-银川,,2464.0,79,287,366,0.18864973020124823,0.00015312478100750667
金华,长春,0,金华-长春,route_1,2314.0,388,2860,3248,1.5722216585798514,0.0
金华,洛阳,0,金华-洛阳,route_1,1197.0,223,1656,1879,0.47049534402347915,0.0
金华,广州,1,金华-上海-广州,,1764.0,1166,8965,10131,3.7383959342442026,0.002119272071567008
金华,柳州,2,金华-上海-广州-柳州,,2264.0,183,1326,1509,0.7146609656274612,0.0006313259413670152
金华,西安,1,金华-上海-西安,,1709.0,662,5023,5685,2.0323894473596957,0.0011892272951197751
金华,兰州,0,金华-兰州,route_1,2013.0,252,1908,2160,0.9095611991845897,0.0
金华,鹰潭,2,金华-上海-武汉-鹰潭,,1654.0,83,593,676,0.23389266413062465,0.0002828206337734276
温州,侯马,2,温州-上海-西安-侯马,,2157.0,85,324,409,0.18454736670351843,0.0001711148509072957
温州,合肥,2,温州-上海-武汉-合肥,,1658.0,184,773,957,0.3319180447722635,0.000400383648699956
温州,洛阳,2,温州-上海-西安-洛阳,,2208.0,88,338,426,0.19676283335233447,0.00017822720412349137
温州,广州,1,温州-上海-广州,,1891.0,542,2237,2779,1.0992955632513077,0.0005813302819943456
温州,柳州,2,温州-上海-广州-柳州,,2391.0,78,302,380,0.19006299662267814,0.0001589820130679031
南昌,天津,2,南昌-武汉-北京-天津,,1637.0,145,1738,1883,0.6448124273729373,0.0007877977121233199
南昌,西安,1,南昌-武汉-西安,,1109.0,232,2648,2880,0.6681260936550488,0.0006024581547836328
鹰潭,郑州,2,鹰潭-武汉-西安-郑州,,1725.0,32,308,340,0.12268809297937522,0.0001422470643239133
福州,济南,2,福州-上海-北京-济南,,2382.0,121,1370,1491,0.7429401003887738,0.0006237952144322198
福州,湛江,2,福州-上海-广州-湛江,,2625.0,39,446,485,0.2663210202461502,0.0002029112535208763
泉州,哈尔滨,2,泉州-广州-沈阳-哈尔滨,,4062.0,47,1496,1543,1.3111133656805947,0.0006455506477994065
泉州,呼和浩特,2,泉州-广州-北京-呼和浩特,,3348.0,29,842,871,0.6100114738992326,0.0003644035089003779
泉州,石家庄,2,泉州-广州-北京-石家庄,,3157.0,45,1249,1294,0.8545613717637486,0.00054137559186807
泉州,南京,2,泉州-广州-上海-南京,,2441.0,38,1139,1177,0.6010057704195138,0.0004924258667918999
泉州,济南,0,泉州-济南,route_1,1641.0,76,2267,2343,0.8042948154082857,0.0
泉州,武汉,1,泉州-广州-武汉,,1698.0,71,2291,2362,0.8389807161093754,0.0004940993616662988
泉州,信阳,2,泉州-广州-武汉-信阳,,1911.0,30,771,801,0.32020462658576715,0.00033511734859839577
泉州,南充,2,泉州-广州-成都-南充,,2522.0,22,622,644,0.3397546028953553,0.0002694326747782358
厦门,汕头,1,厦门-广州-汕头,,1070.0,43,1336,1379,0.3086614865027409,0.0002884686789745242
重庆,广州,1,重庆-成都-广州,,1888.0,121,4622,4743,1.8732231406687494,0.0009921732736592954
重庆,呼和浩特,0,重庆-呼和浩特,route_1,1680.0,61,2236,2297,0.807243722563836,0.0
重庆,侯马,2,重庆-成都-西安-侯马,,1430.0,19,638,657,0.1965331461808232,0.0002748715331200325
重庆,徐州,2,重庆-成都-上海-徐州,,2866.0,23,769,792,0.4748273946927202,0.00033135198513099806
重庆,南昌,0,重庆-南昌,route_1,1210.0,47,1647,1694,0.42877867298132066,0.0
重庆,襄阳,2,重庆-成都-武汉-襄阳,,1773.0,12,439,451,0.16727062399394194,0.000188686547088485
重庆,昆明,0,重庆-昆明,route_1,837.0,95,3773,3868,0.677245803973086,0.0
重庆,西安,1,重庆-成都-西安,,1109.0,76,2841,2917,0.6767096580527004,0.0006101980685777281
长沙,侯马,2,长沙-武汉-西安-侯马,,1413.0,78,1108,1186,0.35055910417819375,0.0004961912302592976
长沙,天津,0,长沙-天津,route_1,1475.0,168,2558,2726,0.8411089832158923,0.0
长沙,长春,2,长沙-武汉-沈阳-长春,,2471.0,113,1798,1911,0.9877972937496012,0.0007995121762441127
长沙,常州,0,长沙-常州,route_1,1011.0,77,1079,1156,0.2444800294535098,0.0
长沙,青岛,2,长沙-武汉-北京-青岛,,2175.0,117,1733,1850,0.841715625107862,0.0007739913794095282
长沙,襄阳,1,长沙-武汉-襄阳,,655.0,53,768,821,0.11249127952280294,0.00017174241148519532
常德,杭州,2,常德-武汉-上海-杭州,,1396.0,19,349,368,0.1074651468544049,0.00015396152844470616
衡阳,石家庄,2,衡阳-武汉-北京-石家庄,,1987.0,32,814,846,0.3516435288568043,0.0003539441659353843
武汉,呼和浩特,1,武汉-北京-呼和浩特,,1663.0,108,2189,2297,0.7990751848950353,0.0004805022158118071
武汉,北京,0,武汉-北京,route_0,1156.0,270,6020,6290,1.521047858815605,0.0
武汉,杭州,1,武汉-上海-杭州,,1006.0,162,3577,3739,0.7868425649237566,0.0007821496669222233
荆州,常州,2,荆州-武汉-上海-常州,,1229.0,11,102,113,0.029051243458988393,4.7276230201771185e-05
